Date,Price,Open,High,Low,Vol.,Change %
03/10/2026,49.38,47.805,49.38,46.6,0.04K,-12.53%
03/09/2026,56.453,62.66,62.9,55.8,0.24K,5.75%
03/06/2026,53.385,48.805,53.67,48.145,0.25K,5.23%
03/05/2026,50.731,52.85,53.92,47.895,0.56K,4.03%
03/04/2026,48.767,56.8,57.145,45.895,0.47K,-10.17%
03/03/2026,54.29,52.25,63.75,50.9,0.71K,21.98%
03/02/2026,44.506,38.59,48.59,38.32,0.41K,39.26%
02/27/2026,31.959,31.695,32.835,31.65,0.78K,-0.82%
02/26/2026,32.224,30.4,30.425,30.4,0.01K,3.78%
02/25/2026,31.05,31.42,31.5,31.42,0.04K,0.51%
02/24/2026,30.891,31.65,31.65,31.4,0.03K,-2.96%
02/23/2026,31.834,31.65,32.1,31.55,0.08K,-0.61%
02/20/2026,32.029,32.59,32.85,31.88,0.13K,-4.46%
02/19/2026,33.523,32.8,34.27,32.8,0.06K,6.49%
02/18/2026,31.481,30.01,31.875,29.38,0.04K,5.56%
02/17/2026,29.822,31.02,31.2,29.895,0.14K,-3.03%
02/16/2026,30.755,30.755,31.2,30.755,0.05K,-5.37%
02/13/2026,32.5,32.495,32.495,32.075,0.07K,-1.50%
02/12/2026,32.994,32.9,33.265,32.375,0.13K,2.57%
02/11/2026,32.167,32.495,32.85,32.185,0.03K,1.01%
02/10/2026,31.846,33.6,33.6,31.81,0.02K,-4.93%
02/09/2026,33.496,32.505,33.535,32.485,0.13K,-6.16%
02/06/2026,35.694,34.23,35.55,34.135,0.21K,5.81%
02/05/2026,33.735,34.175,35.05,33.845,0.15K,0.70%
02/04/2026,33.501,33.365,33.82,32.85,0.17K,1.95%
02/03/2026,32.86,31.955,32.89,31.355,0.27K,-3.20%
02/02/2026,33.945,34.65,35.15,33.08,0.24K,-13.59%
01/30/2026,39.285,39.18,39.64,37.525,0.15K,-2.06%
01/29/2026,40.113,40.113,40.113,40.113,,3.22%
01/28/2026,38.861,39.205,39.205,37.275,0.58K,0.26%
01/27/2026,38.761,39.055,39.48,38.21,0.17K,-0.90%
01/26/2026,39.112,40.8,40.8,40.13,0.12K,-2.32%
01/23/2026,40.039,37.2,40.005,37.2,0.29K,5.15%
01/22/2026,38.079,39.225,41.8,37.45,0.42K,-2.88%
01/21/2026,39.208,34.55,39.925,34.4,0.40K,9.25%
01/20/2026,35.887,34.7,37.095,33.215,1.12K,2.20%
01/19/2026,35.115,35.115,35.455,33.215,0.33K,-4.78%
01/16/2026,36.879,33.95,37.99,33.95,0.67K,11.22%
01/15/2026,33.158,32.27,33.64,31.975,1.42K,4.23%
01/14/2026,31.813,30.725,32.925,30.42,1.85K,1.08%
01/13/2026,31.473,32.12,32.3,30.67,1.52K,4.06%
01/12/2026,30.246,28.95,30.58,28.905,0.81K,6.60%
01/09/2026,28.374,27.62,28.565,27.62,1.90K,2.44%
01/08/2026,27.699,27.745,27.845,27.495,0.81K,-3.75%
01/07/2026,28.777,28.5,29.14,28.345,0.88K,2.51%
01/06/2026,28.072,27.62,28.195,27.575,1.37K,2.46%
01/05/2026,27.399,27.975,27.98,27.15,1.24K,-5.53%
01/02/2026,29.004,28.48,29.05,28.405,1.26K,2.99%
12/31/2025,28.161,27.755,28.43,27.755,0.03K,1.42%
12/30/2025,27.766,27.766,27.766,27.766,,-2.69%
12/29/2025,28.534,28.45,29,28.42,0.01K,1.56%
12/26/2025,28.095,28.095,28.095,28.095,,0.00%
12/24/2025,28.095,28.22,28.22,28.17,0.02K,1.31%
12/23/2025,27.732,27.79,27.79,27.79,0.01K,0.16%
12/22/2025,27.687,27.687,27.687,27.687,0.00K,-1.68%
12/19/2025,28.161,27.95,28.475,27.755,0.92K,1.84%
12/18/2025,27.652,27.55,27.835,27.3,0.53K,1.08%
12/17/2025,27.357,27.085,27.475,27.075,1.13K,2.22%
12/16/2025,26.764,26.97,27,26.68,1.05K,-2.41%
12/15/2025,27.425,27.73,27.745,27.28,0.56K,-0.94%
12/12/2025,27.684,27.355,27.56,27.245,0.49K,3.28%
12/11/2025,26.805,26.715,26.92,26.635,0.91K,0.76%
12/10/2025,26.602,27.015,27.09,26.55,1.41K,-3.23%
12/09/2025,27.489,27.4,27.53,27.34,0.42K,2.30%
12/08/2025,26.871,27.55,27.67,26.805,0.76K,-1.45%
12/05/2025,27.266,27.36,27.36,27.105,1.08K,0.66%
12/04/2025,27.088,27.575,27.58,27.055,1.11K,-3.96%
12/03/2025,28.206,27.995,28.27,27.995,1.11K,0.56%
12/02/2025,28.05,27.715,28.105,27.56,1.13K,-0.63%
12/01/2025,28.227,28.275,28.43,27.88,0.69K,-2.05%
11/28/2025,28.817,29.07,29.16,28.655,0.17K,-1.88%
11/26/2025,29.368,29.37,29.5,29.26,0.05K,-0.06%
11/25/2025,29.386,29.65,29.65,29.245,0.06K,-1.21%
11/24/2025,29.747,30.025,30.025,29.3,0.09K,-1.49%
11/21/2025,30.198,30.62,30.7,30.485,2.21K,-3.08%
11/20/2025,31.159,31.035,31.195,30.89,2.59K,0.71%
11/19/2025,30.94,31.155,31.185,30.675,1.96K,-2.38%
11/18/2025,31.694,31.74,31.95,31.49,2.16K,0.88%
11/17/2025,31.418,31.475,31.6,31.23,2.88K,0.54%
11/14/2025,31.25,30.745,31.08,30.59,1.11K,2.60%
11/13/2025,30.458,31.01,31.01,30.375,5.16K,-1.54%
11/12/2025,30.933,31.365,31.365,30.8,7.75K,-0.54%
11/11/2025,31.102,31.04,31.18,30.885,1.33K,0.10%
11/10/2025,31.071,31.3,31.465,30.84,9.39K,-0.42%
11/07/2025,31.201,31.49,31.505,31.145,5.59K,-1.10%
11/06/2025,31.548,31.445,31.725,31.445,3.55K,-0.85%
11/05/2025,31.819,32.1,32.12,31.695,2.28K,-2.25%
11/04/2025,32.551,31.94,32.495,31.93,8.19K,2.55%
11/03/2025,31.741,31.555,31.88,31.535,,1.99%
10/31/2025,31.122,31.185,31.335,31.095,1.26K,0.24%
10/30/2025,31.048,36,36,36,0.00K,-2.58%
10/29/2025,31.869,31.869,31.869,31.869,0.02K,1.19%
10/28/2025,31.494,31.315,31.71,31.315,0.02K,0.30%
10/27/2025,31.4,31.38,31.44,31.285,0.79K,-1.92%
10/24/2025,32.016,32.2,32.2,31.855,1.64K,-1.35%
10/23/2025,32.454,32.25,32.795,32.25,4.11K,2.16%
10/22/2025,31.768,32.05,32.185,31.67,6.08K,-1.34%
10/21/2025,32.2,31.435,32.27,31.435,4.45K,1.45%
10/20/2025,31.739,31.775,31.775,31.59,1.69K,-0.24%
10/17/2025,31.816,32.195,32.315,31.84,2.18K,-1.74%
10/16/2025,32.378,32.265,32.65,32.165,3.79K,1.73%
10/15/2025,31.826,31.75,31.85,31.44,1.44K,0.08%
10/14/2025,31.801,31.46,31.86,31.46,2.53K,1.04%
10/13/2025,31.475,31.825,31.845,31.345,,-2.16%
10/10/2025,32.17,32.08,32.185,31.88,3.17K,-0.60%
10/09/2025,32.363,32.195,32.52,32.065,2.78K,-1.03%
10/08/2025,32.7,33.57,33.57,32.645,3.17K,-1.64%
10/07/2025,33.246,33.5,33.625,33.04,4.23K,0.39%
10/06/2025,33.116,32.45,33.215,32.425,3.24K,5.34%
10/03/2025,31.438,31.105,31.625,30.97,3.86K,-0.05%
10/02/2025,31.455,31.445,31.475,31.055,4.05K,0.38%
10/01/2025,31.335,31.275,31.385,30.79,2.93K,-0.24%
09/30/2025,31.411,32.255,32.255,31.43,3.97K,-2.02%
09/29/2025,32.06,32.28,32.28,32.1,0.06K,-1.95%
09/26/2025,32.697,32.655,32.71,32.525,0.38K,0.74%
09/25/2025,32.456,32.405,32.565,32.35,0.08K,1.73%
09/24/2025,31.903,32.16,32.39,32,0.08K,-1.12%
09/23/2025,32.265,32.03,32.7,31.99,0.33K,1.32%
09/22/2025,31.844,32.1,32.2,31.765,0.19K,-1.44%
09/19/2025,32.308,32.66,32.965,32.17,2.11K,-1.95%
09/18/2025,32.952,32.555,33.035,32.545,2.38K,1.70%
09/17/2025,32.401,32.605,32.76,32.335,1.86K,0.22%
09/16/2025,32.329,31.91,32.45,31.91,5.07K,0.54%
09/15/2025,32.154,32.2,32.4,32,2.55K,-1.56%
09/12/2025,32.662,32.395,32.8,32.065,2.76K,1.05%
09/11/2025,32.323,32.51,32.59,32.31,3.10K,-2.41%
09/10/2025,33.122,33.24,33.42,33.005,3.91K,0.58%
09/09/2025,32.931,33.085,33.11,32.225,3.51K,-0.40%
09/08/2025,33.064,32.2,33.12,32.2,3.50K,3.43%
09/05/2025,31.969,32.52,32.705,31.91,6.17K,-1.37%
09/04/2025,32.412,31.84,32.605,31.84,6.65K,0.93%
09/03/2025,32.112,31.525,32.36,31.42,3.59K,1.07%
09/02/2025,31.772,32.2,32.625,31.665,4.13K,-1.56%
09/01/2025,32.275,32.275,32.285,31.88,0.08K,2.07%
08/29/2025,31.622,31.75,31.87,31.6,3.28K,0.20%
08/28/2025,31.559,31.275,31.275,31.275,0.00K,-3.05%
08/27/2025,32.551,32.7,32.815,32.59,1.27K,-2.72%
08/26/2025,33.46,33.6,33.69,33.3,0.26K,-0.93%
08/25/2025,33.774,33.275,33.82,33.25,0.06K,0.60%
08/22/2025,33.573,33.4,33.6,33.065,0.41K,1.20%
08/21/2025,33.175,32.245,33.395,32.015,1.96K,3.98%
08/20/2025,31.906,31.375,32.275,31.225,2.63K,2.17%
08/19/2025,31.227,30.725,31.375,30.725,3.63K,-0.14%
08/18/2025,31.272,30.65,31.485,30.65,2.64K,0.78%
08/15/2025,31.031,31.975,31.975,30.795,2.52K,-3.45%
08/14/2025,32.141,32.86,32.86,31.95,1.95K,-1.41%
08/13/2025,32.6,32.615,32.8,32.485,2.31K,0.59%
08/12/2025,32.409,33.065,33.065,32.215,2.08K,-1.79%
08/11/2025,32.999,32.49,33.125,32.4,2.69K,1.70%
08/08/2025,32.446,32.78,33.41,32.155,3.78K,-1.53%
08/07/2025,32.951,32.95,33.15,32.845,2.79K,-0.92%
08/06/2025,33.257,33.995,34.105,33.08,1.60K,-3.34%
08/05/2025,34.406,34.19,34.44,33.79,7.53K,0.36%
08/04/2025,34.283,34.065,34.37,33.66,6.74K,0.92%
08/01/2025,33.972,35.15,35.16,33.77,2.90K,-3.70%
07/31/2025,35.279,34.685,35.425,34.645,4.92K,2.15%
07/30/2025,34.537,33.65,33.65,33.65,0.01K,1.27%
07/29/2025,34.103,34.103,34.103,34.103,0.08K,3.66%
07/28/2025,32.899,32.295,33.03,32.13,0.25K,1.23%
07/25/2025,32.499,32.1,32.65,32.1,0.41K,0.44%
07/24/2025,32.358,32.385,32.435,32.175,5.14K,-1.02%
07/23/2025,32.69,33.505,33.695,32.605,4.15K,-1.27%
07/22/2025,33.111,33.215,33.405,32.95,4.21K,-0.14%
07/21/2025,33.159,33.83,33.915,33.125,2.22K,-1.30%
07/18/2025,33.595,34.6,34.6,33.43,6.46K,-2.36%
07/17/2025,34.407,35.14,35.25,34.325,6.84K,-1.15%
07/16/2025,34.809,34.655,35.115,34.45,14.48K,1.06%
07/15/2025,34.445,35.105,35.145,34.205,19.50K,-2.85%
07/14/2025,35.454,35.54,36.32,35.09,12.25K,-0.30%
07/11/2025,35.561,34.93,35.615,34.755,10.93K,1.11%
07/10/2025,35.17,34.655,35.35,34.655,12.66K,2.52%
07/09/2025,34.304,34.32,34.9,34.275,8.65K,0.25%
07/08/2025,34.219,34.005,34.59,33.895,15.26K,1.78%
07/07/2025,33.621,33.21,34.045,32.985,7.42K,0.57%
07/04/2025,33.43,33.95,33.95,33.275,0.08K,-0.57%
07/03/2025,33.621,33.65,34.21,33.435,16.35K,0.09%
07/02/2025,33.591,33.98,34.425,33.21,17.11K,-0.30%
07/01/2025,33.693,33.1,33.845,32.885,9.59K,2.42%
06/30/2025,32.898,33.35,33.45,32.7,2.42K,-0.57%
06/27/2025,33.087,33.087,33.087,33.087,,-2.75%
06/26/2025,34.024,35.305,35.31,34.05,0.13K,-3.89%
06/25/2025,35.401,35.45,35.945,35.12,0.79K,-0.60%
06/24/2025,35.615,36.485,36.55,35.085,0.81K,-12.11%
06/23/2025,40.522,41.6,41.9,40.29,4.11K,-0.99%
06/20/2025,40.929,39.955,41.795,39.88,8.71K,-1.34%
06/19/2025,41.485,41.485,41.795,39.88,0.98K,7.22%
06/18/2025,38.693,39.55,40.365,38.655,3.56K,-1.57%
06/17/2025,39.309,38.18,39.7,38.175,11.95K,3.70%
06/16/2025,37.906,38.67,39.485,37.395,9.55K,0.03%
06/13/2025,37.894,37.595,38.46,37.105,9.59K,4.75%
06/12/2025,36.177,36.405,36.5,35.765,8.37K,0.74%
06/11/2025,35.913,35.165,35.9,35.06,4.91K,3.68%
06/10/2025,34.638,35.555,35.555,34.55,4.63K,-2.72%
06/09/2025,35.605,36.145,36.245,35.45,4.95K,-1.78%
06/06/2025,36.251,36.55,36.72,35.955,4.61K,-0.39%
06/05/2025,36.393,35.705,36.59,35.705,3.86K,2.08%
06/04/2025,35.65,36.005,36.365,35.415,6.57K,-0.55%
06/03/2025,35.848,35.265,36,34.97,3.62K,2.38%
06/02/2025,35.015,34.1,35.485,34.1,4.19K,2.30%
05/30/2025,34.228,34.955,35.355,33.855,0.78K,-2.65%
05/29/2025,35.158,35.158,35.158,35.158,,-4.17%
05/28/2025,36.687,36.8,36.99,36.8,0.08K,-0.86%
05/27/2025,37.006,36.975,36.975,36.685,0.38K,1.53%
05/23/2025,36.45,36.4,36.77,35.88,0.47K,0.26%
05/22/2025,36.356,36.54,37.04,36.11,6.32K,-0.72%
05/21/2025,36.621,37.25,37.775,36.43,6.86K,-0.97%
05/20/2025,36.979,35.26,37.14,35.235,5.47K,4.98%
05/19/2025,35.225,35,35.46,34.9,3.82K,0.20%
05/16/2025,35.156,35.35,35.935,34.785,3.81K,-0.39%
05/15/2025,35.294,35.345,35.495,34.45,8.95K,0.70%
05/14/2025,35.048,35.65,35.68,34.425,5.20K,-1.95%
05/13/2025,35.744,35.015,36.15,35.01,7.76K,1.00%
05/12/2025,35.39,34.555,36.305,34.545,13.45K,2.23%
05/09/2025,34.618,35.7,35.99,34.32,7.11K,-2.05%
05/08/2025,35.341,34.22,35.745,34.22,8.95K,2.35%
05/07/2025,34.531,34.615,35.515,34.115,16.62K,-0.61%
05/06/2025,34.743,33.34,35.085,33.235,26.23K,5.51%
05/05/2025,32.93,32.79,33.065,32.6,3.08K,-0.45%
05/02/2025,33.078,32.095,33.63,32.085,4.78K,2.89%
05/01/2025,32.149,32.03,32.28,31.65,3.62K,-0.52%
04/30/2025,32.317,31.875,32.755,31.655,0.23K,1.45%
04/29/2025,31.856,30.9,31.5,30.9,0.00K,-1.67%
04/28/2025,32.398,32.7,32.7,32.275,0.07K,-0.10%
04/25/2025,32.432,33.445,33.445,31.95,7.19K,-3.40%
04/24/2025,33.574,34.05,34.14,33.08,12.55K,-1.72%
04/23/2025,34.16,34.675,34.975,33.925,11.56K,-0.25%
04/22/2025,34.244,35.85,35.85,34.025,6.15K,-3.96%
04/21/2025,35.657,35.657,35.657,35.657,,0.00%
04/17/2025,35.657,35.6,35.835,35.305,0.28K,0.98%
04/16/2025,35.312,33.905,35.63,33.905,2.86K,2.63%
04/15/2025,34.407,34.5,35.525,34.17,2.06K,-0.27%
04/14/2025,34.499,34.275,34.785,33.71,1.59K,3.10%
04/11/2025,33.463,33.725,34.055,32.805,12.78K,0.51%
04/10/2025,33.293,34.65,35.14,33.15,8.93K,-1.11%
04/09/2025,33.666,34.6,35.395,33.305,13.98K,-7.08%
04/08/2025,36.231,36.335,36.96,35.58,7.61K,-2.08%
04/07/2025,37,34.645,38.56,33.595,0.82K,1.65%
04/04/2025,36.401,39.25,39.25,35.265,3.86K,-7.15%
04/03/2025,39.203,39.75,40.46,38.455,6.65K,-4.99%
04/02/2025,41.263,42.475,42.95,40.87,3.65K,-2.80%
04/01/2025,42.45,40.875,42.7,40.45,2.02K,4.38%
03/31/2025,40.667,40.825,41.385,39.885,0.23K,0.20%
03/28/2025,40.587,40.9,40.9,40.9,0.00K,-1.49%
03/27/2025,41.202,41.1,41.425,41.1,0.02K,0.81%
03/26/2025,40.87,40.555,41.255,40.555,0.26K,-1.65%
03/25/2025,41.555,42.05,42.63,41.16,0.18K,-2.79%
03/24/2025,42.748,42.405,42.69,41.24,0.32K,0.34%
03/21/2025,42.605,44.755,44.755,42.03,0.27K,-0.58%
03/20/2025,42.855,43.86,44.15,42.675,0.49K,-1.15%
03/19/2025,43.355,42.505,43.94,41.96,16.91K,6.38%
03/18/2025,40.755,41.45,41.625,39.85,7.89K,-1.20%
03/17/2025,41.248,41.395,42.005,40.35,6.51K,-2.46%
03/14/2025,42.29,41.3,42.895,41.145,12.03K,0.51%
03/13/2025,42.076,42.455,43.625,40.545,0.49K,-0.42%
03/12/2025,42.254,42.645,43.345,41.295,5.50K,-1.07%
03/11/2025,42.71,41.405,43.56,40.865,4.77K,3.58%
03/10/2025,41.232,40.07,41.37,39.65,3.64K,3.15%
03/07/2025,39.971,37.325,41.5,37.205,5.76K,4.53%
03/06/2025,38.24,41.875,42,37.705,3.48K,-7.87%
03/05/2025,41.508,43.485,43.905,40.85,10.11K,-4.50%
03/04/2025,43.464,45.315,45.315,42.51,0.98K,-3.87%
03/03/2025,45.213,46.95,47.23,44.53,0.34K,2.01%
02/28/2025,44.32,46.5,46.545,44.11,0.25K,-1.36%
02/27/2025,44.93,44.375,44.56,44.375,0.01K,8.69%
02/26/2025,41.336,41.336,41.336,41.336,0.16K,-6.67%
02/25/2025,44.291,45.435,45.835,43.75,0.10K,-6.05%
02/24/2025,47.144,46.135,47.26,45.11,0.19K,-0.11%
02/21/2025,47.195,47.65,48.225,46.105,0.33K,-0.63%
02/20/2025,47.494,47.35,48.6,47.065,0.68K,-1.60%
02/19/2025,48.264,50,50.395,47.12,1.92K,-1.93%
02/18/2025,49.215,50.005,50.895,46.84,3.04K,-2.90%
02/14/2025,50.685,50.05,51.6,48.39,1.02K,-1.36%
02/13/2025,51.383,55.66,55.66,50.565,10.41K,-7.69%
02/12/2025,55.661,56.2,57,54.23,47.19K,-3.64%
02/11/2025,57.766,57.13,59.335,56.375,37.59K,-0.47%
02/10/2025,58.039,57.3,58.695,57.255,41.14K,4.16%
02/07/2025,55.723,53.815,56.05,53.66,24.71K,2.24%
02/06/2025,54.502,53.91,55.465,53.55,37.21K,1.99%
02/05/2025,53.438,51.85,53.905,51.85,8.89K,2.67%
02/04/2025,52.048,52.905,53.395,51.39,1.70K,-3.25%
02/03/2025,53.794,54.2,54.62,52.85,0.54K,1.05%
01/31/2025,53.237,52,53.755,51.945,1.52K,2.92%
01/30/2025,51.726,52.02,52.54,51.53,0.01K,1.11%
01/29/2025,51.156,49.74,51.33,49.74,0.02K,6.08%
01/28/2025,48.224,48.2,48.615,48.05,0.15K,0.76%
01/27/2025,47.862,48.825,48.9,47.83,0.36K,-3.70%
01/24/2025,49.702,49.585,49.91,48.205,15.83K,1.18%
01/23/2025,49.123,48.83,50.3,48.6,17.68K,0.84%
01/22/2025,48.716,50.085,50.7,48.55,41.43K,-2.62%
01/21/2025,50.027,46.65,50.225,46.15,32.26K,6.70%
01/17/2025,46.887,46,47.405,45.765,24.92K,1.40%
01/16/2025,46.241,46.205,46.41,45.7,4.97K,-1.63%
01/15/2025,47.006,47.45,47.75,46.45,8.69K,0.13%
01/14/2025,46.947,48.53,48.605,46.605,12.63K,-2.72%
01/13/2025,48.261,46.65,48.57,46.65,31.50K,7.23%
01/10/2025,45.008,44.85,45.785,43.225,22.27K,0.05%
01/09/2025,44.987,45.095,45.48,43.895,10.51K,-1.26%
01/08/2025,45.559,47.995,47.995,45.14,6.24K,-4.03%
01/07/2025,47.474,46.75,47.86,45.985,4.68K,0.31%
01/06/2025,47.326,49.1,49.25,46.94,3.21K,-4.63%
01/03/2025,49.622,49.905,50.35,49.385,3.66K,-1.29%
01/02/2025,50.273,50.215,50.695,48.615,0.71K,2.83%
12/31/2024,48.889,48.35,50.53,48.225,0.38K,2.64%
12/30/2024,47.633,48.3,48.3,47.235,0.03K,-0.21%
12/27/2024,47.731,47.18,47.93,46.8,0.26K,4.37%
12/26/2024,45.731,45.731,45.731,45.731,,0.00%
12/24/2024,45.731,45.75,46.55,45.3,0.16K,0.41%
12/23/2024,45.545,44.335,45.835,43.8,1.15K,3.21%
12/20/2024,44.13,43.875,44.465,42.785,1.53K,2.44%
12/19/2024,43.078,41.475,43.615,39.835,1.83K,5.05%
12/18/2024,41.007,42.355,42.4,40.63,3.55K,-2.52%
12/17/2024,42.065,40.5,42.145,39.955,3.03K,4.44%
12/16/2024,40.277,40.185,40.585,38.955,11.20K,-2.28%
12/13/2024,41.215,42.54,43.245,41.01,22.34K,-3.71%
12/12/2024,42.804,44.4,44.45,42.495,17.35K,-4.23%
12/11/2024,44.694,45.25,45.96,44.4,17.84K,-1.88%
12/10/2024,45.552,44.55,45.845,44.45,7.64K,1.55%
12/09/2024,44.855,46.2,46.305,44.74,12.53K,-3.50%
12/06/2024,46.48,46.25,46.7,45.95,4.41K,-0.15%
12/05/2024,46.551,47.51,47.56,46.005,6.28K,-1.05%
12/04/2024,47.046,48.1,48.15,46.71,6.88K,-3.11%
12/03/2024,48.557,48.93,49.05,48.25,3.53K,-0.20%
12/02/2024,48.655,48.86,49.295,48.35,3.85K,1.77%
11/29/2024,47.811,47.48,47.95,46.235,0.59K,2.24%
11/27/2024,46.762,46.535,46.8,46,0.09K,-0.96%
11/26/2024,47.216,47.38,48.29,46.13,0.19K,-1.08%
11/25/2024,47.733,47.665,48.88,47.4,0.67K,1.52%
11/22/2024,47.018,49.05,49.24,46.775,10.60K,-2.66%
11/21/2024,48.303,47.12,48.725,47.12,11.92K,3.22%
11/20/2024,46.796,45.36,47.23,45.275,24.27K,2.47%
11/19/2024,45.668,46.655,47.315,45.6,15.99K,-2.63%
11/18/2024,46.9,45.48,47.125,45.385,9.48K,0.75%
11/15/2024,46.551,46,47.41,45.45,20.42K,0.71%
11/14/2024,46.224,45.505,46.51,44.995,9.38K,5.86%
11/13/2024,43.666,43.625,44.105,42.2,8.32K,-1.33%
11/12/2024,44.255,43.82,44.435,43,7.78K,1.21%
11/11/2024,43.728,41.675,44.11,41.675,8.19K,3.11%
11/08/2024,42.409,42.325,43.055,41.975,7.86K,2.74%
11/07/2024,41.276,40.505,41.575,40.385,4.67K,2.20%
11/06/2024,40.388,40.1,40.75,39.04,2.80K,-0.26%
11/05/2024,40.492,40.33,41.2,40.305,2.21K,0.47%
11/04/2024,40.301,39.495,40.525,39.43,1.50K,2.87%
11/01/2024,39.175,39.325,40.38,38.55,1.35K,-3.48%
10/31/2024,40.588,41.225,41.49,38.07,0.42K,-0.77%
10/30/2024,40.903,41.565,41.565,41.125,0.02K,-4.59%
10/29/2024,42.869,43.44,43.605,43.2,0.04K,0.82%
10/28/2024,42.519,42.5,42.725,41.88,0.13K,-2.28%
10/25/2024,43.513,42.2,43.57,42.2,0.27K,3.22%
10/24/2024,42.154,41.85,42.63,41.75,0.32K,1.87%
10/23/2024,41.38,40.8,41.75,40.65,0.39K,1.66%
10/22/2024,40.704,39.93,41.005,39.79,0.22K,1.70%
10/21/2024,40.024,39.81,40.215,39.65,0.20K,2.09%
10/18/2024,39.204,39.74,39.74,39.105,0.21K,-1.12%
10/17/2024,39.65,39.45,40.03,39.31,0.14K,1.04%
10/16/2024,39.241,40.205,40.26,39.155,0.16K,-1.83%
10/15/2024,39.973,39.85,40.09,38.975,0.12K,-1.44%
10/14/2024,40.559,39.32,40.705,39.235,0.12K,1.71%
10/11/2024,39.879,39.865,40.575,39.52,0.22K,-1.03%
10/10/2024,40.293,38.405,40.35,38.405,0.27K,5.09%
10/09/2024,38.341,38.405,39.16,38.1,0.25K,-1.49%
10/08/2024,38.919,40.18,40.18,38.7,0.26K,-3.29%
10/07/2024,40.244,40.205,40.945,39.505,0.21K,-1.80%
10/04/2024,40.98,39.625,41.17,39.375,0.13K,2.68%
10/03/2024,39.912,38.395,39.83,38.145,0.20K,3.35%
10/02/2024,38.617,39.9,39.9,38.425,0.23K,-1.67%
10/01/2024,39.273,38.395,39.6,37.445,0.21K,0.59%
09/30/2024,39.044,39.205,39.27,38.705,0.14K,2.44%
09/27/2024,38.114,37.28,38.125,37.28,0.02K,0.59%
09/26/2024,37.89,37.03,37.92,36.7,0.10K,1.53%
09/25/2024,37.319,36.365,37.505,36.145,0.08K,5.38%
09/24/2024,35.413,35.413,35.413,35.413,0.21K,-2.20%
09/23/2024,36.211,34.9,36.295,34.57,0.25K,5.13%
09/20/2024,34.444,34.485,35.08,33.865,0.21K,4.11%
09/19/2024,33.083,35.98,36.695,32.525,0.65K,-6.13%
09/18/2024,35.245,35.185,35.745,34.705,0.23K,-0.85%
09/17/2024,35.547,34.15,35.75,34.125,0.27K,4.30%
09/16/2024,34.081,35.11,35.145,33.965,0.33K,-4.40%
09/13/2024,35.648,35.405,36.175,35.145,0.49K,1.30%
09/12/2024,35.19,35.83,35.85,34.845,0.44K,-2.63%
